logP,logA11,R21,VminusI,WI
0.210918886534604,0.688240011274717,0.525084995439269,0.473141042603863,0.710099105643558
0.397863614380296,0.387427703470011,0.401853233891515,0.575284466790156,0.328839232704507
0.869453870129883,0.573751778026298,0.548023764578486,0.587324689071183,0.585517872315716
0.343179583782238,0.453437122597489,0.500604032629143,0.595924847843345,0.308397138343799
0.1308593564037,0.319461005350307,0.451288467448088,0.537179147922731,0.389016018306636
0.93863201302124,0.62010350130802,0.505764406137557,0.37536385287113,0.78913890788259
0.325389390873267,0.547006412124961,0.384995601862014,0.499735379730087,0.455855741621408
0.181898435991316,0.437845531936845,0.551635115514127,0.543265414130722,0.37067146058468
0.282563047520835,0.368778018646229,0.555827736072698,0.317676634030167,0.592657792230108
0.421461803574493,0.341166316141776,0.453322342053191,0.566419687748081,0.340710460545573
0.373154606224444,0.433121405844637,0.426460043607416,0.5375760783276,0.354107438907764
0.819254862640522,0.27183717413341,0.487285560287009,0.512304842550939,0.391812733824971
0.764498323639912,0.656868753460102,0.526212577211304,0.35803122519185,0.725735826518314
0.376850825802347,0.302734044782445,0.422035890757081,0.585869277586663,0.303816924158052
0.750595752960699,0.294083019728533,0.387296291418509,0.528975919555438,0.384945375168721
0.958740277587555,0.332799133564669,0.470478169464077,0.524345064831966,0.406575481100247
0.127695353383249,0.287932276665952,0.542018395760878,0.457396136544059,0.405562264249325
0.872476030113692,0.704802096386488,0.472158079322573,0.436094204816089,0.801395276631901
0.160580477368956,0.592618664049721,0.485273798316513,0.697142101084943,0.200483618475861
0.334014717008494,0.317155710799565,0.57428983485439,0.575549087060069,0.326362480402253
0.31104151606525,0.394131322313499,0.558461090705702,0.570256681661815,0.348274035459035
0.388999034930252,0.40637357174785,0.427268130327966,0.599894151892035,0.305244908140931
0.23288624701147,0.412425586992412,0.529390292878594,0.492193702037576,0.488678634871013
0.755696731287034,0.20998172794908,0.52058978949097,0.360677427890976,0.492050099129345
0.761755943552819,0.255181791233612,0.455041274208051,0.553056364117491,0.372188323238691
0.948907210484568,0.281287894513276,0.449680911430769,0.502646202699127,0.44679011716579
0.438695366322459,0.301169208866844,0.524569413348552,0.515744906059804,0.37857573707082
0.937045372926339,0.621444471896263,0.46964032824255,0.397062715003969,0.742027286937087
0.181856932865276,0.488216464690119,0.530894114624744,0.310664196877481,0.619448786332119
0.127695353383249,0.360909411550118,0.536888101939246,0.555570256681662,0.349675355840573
0.75605732021151,0.734697620141265,0.539555438488666,0.387668695422069,0.807166465010837
0.966423482761677,0.233703554423586,0.459652896673837,0.499735379730087,0.415961068771946
0.940702774874593,0.2202370800458,0.475947957264082,0.541016141836465,0.384533570659136
0.835875888075346,0.530721258542733,0.531255721237722,0.440989679809473,0.581476855401512
0.272240975938685,0.535136860203631,0.479764337848538,0.785525271235777,0.154639999905196
0.0994683449554293,0.321805791028258,0.527601770961883,0.499735379730087,0.448615092546398
0.758790423129253,0.302778472300553,0.46290703100484,0.607700449854459,0.317050958289832
0.262792911363727,0.61809710522633,0.451789416177668,0.69978830378407,0.199511878338135
0.0847054388870132,0.670495166903079,0.510450983930943,0.724133368616036,0.200033299875451
0.0847054388870132,0.313939652127597,0.567846278167188,0.557025668166181,0.34409673791576
0.811318488397557,0.317461767035423,0.5422455380443,0.515347975654935,0.463291923772911
0.407045570676528,0.428059136975715,0.437883333089444,0.589441651230484,0.323705008135361
0.879334787895833,0.399312064564044,0.536295125627405,0.478168827732204,0.545015861880175
